,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
35,Vistara,UK-801,Delhi,Morning,one,Morning,Mumbai,Economy,23.17,1,12150
36,Vistara,UK-815,Delhi,Morning,one,Morning,Mumbai,Economy,24.17,1,12150
37,Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.83,1,11900
38,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,1,12123
39,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,1,12123
40,Air_India,AI-504,Delhi,Night,one,Morning,Mumbai,Economy,11.0,1,12150
41,Air_India,AI-502,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.08,1,12150
42,Air_India,AI-506,Delhi,Morning,one,Morning,Mumbai,Economy,22.83,1,12150
43,Air_India,AI-803,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.42,1,12150
44,Air_India,AI-479,Delhi,Night,one,Afternoon,Mumbai,Economy,17.75,1,12215
45,SpiceJet,SG-339,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.58,1,12230
46,Vistara,UK-955,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,1,12780
47,Vistara,UK-627,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.67,1,12885
48,AirAsia,I5-784,Delhi,Evening,one,Early_Morning,Mumbai,Economy,15.17,1,12539
49,Air_India,AI-9643,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,1,12938
50,Air_India,AI-540,Delhi,Night,one,Morning,Mumbai,Economy,11.42,1,12990
51,Air_India,AI-429,Delhi,Morning,one,Morning,Mumbai,Economy,22.25,1,12990
52,Air_India,AI-439,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.0,1,12990
53,Air_India,AI-9645,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.75,1,13086
54,Indigo,6E-2193,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,1,13279
55,Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,4.42,1,13279
56,Indigo,6E-152,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,1,13279
57,Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,1,13279
58,Indigo,6E-369,Delhi,Night,one,Morning,Mumbai,Economy,10.42,1,13279
59,Vistara,UK-899,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,23.75,1,13673
60,Air_India,AI-764,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,1,13410
61,Vistara,UK-747,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,1,13935
62,Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,12.42,1,14040
63,Vistara,UK-737,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,1,14040
64,Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,26.67,1,14093
65,Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,28.17,1,14093
66,Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,28.25,1,14093
67,Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,8.0,1,13767
68,GO_FIRST,G8-237,Delhi,Afternoon,one,Night,Mumbai,Economy,9.25,1,13932
69,Vistara,UK-871,Delhi,Night,one,Afternoon,Mumbai,Economy,17.92,1,14408
70,Vistara,UK-871,Delhi,Night,one,Night,Mumbai,Economy,26.42,1,14408
71,Air_India,AI-762,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,1,14250
72,GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,1,14539
73,Vistara,UK-747,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.83,1,14985
74,Air_India,AI-512,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,1,14670
75,Air_India,AI-537,Delhi,Evening,one,Morning,Mumbai,Economy,15.83,1,15195
76,Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,1,15720
77,Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,24.42,1,15983
78,Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,26.0,1,15983
79,Indigo,6E-184,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,1,15720
80,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,1,15720
81,Indigo,6E-2102,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,1,15720
82,Air_India,AI-801,Delhi,Evening,one,Night,Mumbai,Economy,29.33,1,16245
83,Vistara,UK-637,Delhi,Evening,one,Night,Mumbai,Economy,4.42,1,16613
84,Vistara,UK-747,Delhi,Early_Morning,one,Night,Mumbai,Economy,17.0,1,16665
85,Vistara,UK-835,Delhi,Evening,one,Night,Mumbai,Economy,26.67,1,16665
86,Air_India,AI-764,Delhi,Evening,one,Night,Mumbai,Economy,27.17,1,16455
87,Air_India,AI-531,Delhi,Evening,one,Night,Mumbai,Economy,24.75,1,16665
88,Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,1,17348
89,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,1,17348
90,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,12.75,1,17348
91,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,13.75,1,17348
92,Vistara,UK-813,Delhi,Evening,one,Morning,Mumbai,Economy,17.83,1,17348
93,Vistara,UK-705,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.5,1,17400
94,Vistara,UK-707,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,1,17505
95,Vistara,UK-737,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,1,17610
96,Air_India,AI-762,Delhi,Night,one,Night,Mumbai,Economy,23.83,1,17295
97,Vistara,UK-673,Delhi,Afternoon,one,Evening,Mumbai,Economy,5.0,1,17663
98,Air_India,AI-839,Delhi,Night,one,Night,Mumbai,Economy,26.5,1,18030
99,Vistara,UK-879,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,1,18398
100,Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.83,1,18450
101,GO_FIRST,G8-191,Delhi,Morning,one,Evening,Mumbai,Economy,8.92,1,18487
102,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.0,1,18923
103,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,11.17,1,18923
104,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,12.17,1,18923
105,Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,15.58,1,19238
106,Vistara,UK-835,Delhi,Evening,one,Morning,Mumbai,Economy,15.75,1,19920
107,Air_India,AI-767,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,1,19710
108,Air_India,AI-401,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25,1,19710
109,Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,Economy,16.0,1,20130
110,Air_India,AI-473,Delhi,Evening,one,Evening,Mumbai,Economy,22.75,1,19815
111,Vistara,UK-707,Delhi,Evening,one,Night,Mumbai,Economy,6.0,1,21075
112,GO_FIRST,G8-213,Delhi,Morning,one,Evening,Mumbai,Economy,6.33,1,21111
113,Air_India,AI-409,Delhi,Morning,one,Evening,Mumbai,Economy,7.25,1,23206
114,Air_India,AI-429,Delhi,Morning,one,Afternoon,Mumbai,Economy,30.08,1,24540
115,Air_India,AI-401,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.0,1,25800
116,Vistara,UK-837,Delhi,Evening,one,Morning,Mumbai,Economy,18.25,1,27270
117,Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.08,1,29580
118,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,2,5953
119,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,2,5953
120,Vistara,UK-927,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,2,5955
121,Vistara,UK-985,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,2,5955
122,Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,2,5955
123,Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,2,5955
124,Vistara,UK-955,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,2,5955
125,Vistara,UK-953,Delhi,Night,zero,Night,Mumbai,Economy,2.17,2,6060
126,GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,2,5954
127,GO_FIRST,G8-336,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,2,5954
128,GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,2,5954
129,GO_FIRST,G8-330,Delhi,Night,zero,Night,Mumbai,Economy,2.25,2,5954
130,GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,2,5954
131,GO_FIRST,G8-323,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,2,5954
132,Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,2,5955
133,Indigo,6E-2046,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,2,5955
134,Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,2,5955
135,Indigo,6E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,2,5955
136,Indigo,6E-549,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,2,5955
137,Indigo,6E-6722,Delhi,Night,zero,Night,Mumbai,Economy,2.25,2,5955
138,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,2,5955
139,Indigo,6E-6278,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,2,5955
140,Indigo,6E-5328,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,2,5955
141,AirAsia,I5-764,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,2,5956
142,Air_India,AI-868,Delhi,Evening,zero,Evening,Mumbai,Economy,2.0,2,5955
143,Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,2,5955
144,Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,2,5955
145,Air_India,AI-805,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,2,5955
146,Air_India,AI-624,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,2,5955
147,AirAsia,I5-747,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.25,2,5949
148,AirAsia,I5-747,Delhi,Evening,one,Morning,Mumbai,Economy,16.33,2,5949
149,GO_FIRST,G8-188,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.33,2,5954
150,GO_FIRST,G8-103,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.33,2,5954
151,Air_India,AI-636,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.5,2,5955
152,Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,Economy,3.75,2,5955
153,Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,2,6375
154,Vistara,UK-951,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,2,7530
155,Vistara,UK-933,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,2,7530
156,Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,2,7530
157,AirAsia,I5-784,Delhi,Evening,one,Early_Morning,Mumbai,Economy,15.17,2,7419
158,Indigo,6E-6202,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,2,7845
159,Indigo,6E-2022,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.25,2,8396
160,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,2,8869
161,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,2,9183
162,Air_India,AI-469,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25,2,9840
163,Air_India,AI-542,Delhi,Morning,one,Night,Mumbai,Economy,14.17,2,9840
164,Air_India,AI-560,Delhi,Morning,one,Night,Mumbai,Economy,15.75,2,9840
165,Vistara,UK-683,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.58,2,10566
166,Air_India,AI-403,Delhi,Afternoon,one,Evening,Mumbai,Economy,6.33,2,10303
167,Indigo,6E-2154,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.08,2,10523
168,Air_India,AI-9843,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,2,10523
169,Vistara,UK-871,Delhi,Night,one,Night,Mumbai,Economy,26.42,2,11048
170,Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,4.42,2,10838
171,Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,2,10838
172,Indigo,6E-369,Delhi,Night,one,Morning,Mumbai,Economy,10.42,2,10838
173,Air_India,AI-544,Delhi,Evening,one,Night,Mumbai,Economy,6.67,2,11100
174,Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,8.0,2,11326
175,Indigo,6E-282,Delhi,Morning,two_or_more,Evening,Mumbai,Economy,9.67,2,11678
176,Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,12.42,2,12150
177,Vistara,UK-813,Delhi,Evening,one,Morning,Mumbai,Economy,14.67,2,12150
178,Vistara,UK-817,Delhi,Evening,one,Morning,Mumbai,Economy,16.17,2,12150
179,Vistara,UK-815,Delhi,Morning,one,Morning,Mumbai,Economy,24.17,2,12150
180,Indigo,6E-2193,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,2,11814
181,Indigo,6E-152,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,2,11814
182,Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,10.08,2,11900
183,Vistara,UK-859,Delhi,Morning,one,Night,Mumbai,Economy,12.58,2,12308
184,Vistara,UK-637,Delhi,Evening,one,Night,Mumbai,Economy,4.42,2,12570
185,Vistara,UK-801,Delhi,Morning,one,Morning,Mumbai,Economy,23.17,2,12570
186,Vistara,UK-829,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.0,2,12623
187,Vistara,UK-899,Delhi,Afternoon,one,Night,Mumbai,Economy,8.25,2,12623
188,Vistara,UK-829,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.5,2,12623
189,Air_India,AI-9857,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25,2,12298
190,Indigo,6E-607,Delhi,Night,one,Morning,Mumbai,Economy,10.17,2,12302
191,Air_India,AI-504,Delhi,Night,one,Night,Mumbai,Economy,23.5,2,12465
192,Vistara,UK-819,Delhi,Afternoon,one,Morning,Mumbai,Economy,18.0,2,12990
193,Air_India,AI-885,Delhi,Morning,one,Late_Night,Mumbai,Economy,13.25,2,12675
194,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,2,12850
195,Air_India,AI-540,Delhi,Night,one,Morning,Mumbai,Economy,11.42,2,12990
196,Air_India,AI-885,Delhi,Morning,one,Night,Mumbai,Economy,11.5,2,12990
197,Air_India,AI-762,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,2,12990
198,Air_India,AI-764,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,2,12990
199,Air_India,AI-885,Delhi,Morning,one,Morning,Mumbai,Economy,21.42,2,12990
200,GO_FIRST,G8-719,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.25,2,13069
201,GO_FIRST,G8-188,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.75,2,13321
202,Vistara,UK-879,Delhi,Evening,one,Night,Mumbai,Economy,5.33,2,13673
203,Vistara,UK-737,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,2,13830
204,Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,2,14093
205,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,12.17,2,14093
206,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,13.75,2,14093
207,Air_India,AI-537,Delhi,Evening,one,Morning,Mumbai,Economy,15.83,2,13830
208,GO_FIRST,G8-266,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.75,2,14129
209,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,11.17,2,14513
210,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,12.75,2,14513
211,Air_India,AI-885,Delhi,Morning,one,Evening,Mumbai,Economy,5.67,2,14250
212,GO_FIRST,G8-119,Delhi,Evening,one,Morning,Mumbai,Economy,15.17,2,14409
213,GO_FIRST,G8-717,Delhi,Evening,one,Night,Mumbai,Economy,4.75,2,14487
214,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.0,2,14933
215,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,2,14933
216,Vistara,UK-706,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,2,15038
217,Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,15.58,2,15353
218,Vistara,UK-813,Delhi,Evening,one,Morning,Mumbai,Economy,17.83,2,15353
219,Vistara,UK-817,Delhi,Evening,one,Morning,Mumbai,Economy,19.33,2,15353
220,Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,26.0,2,15353
221,Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,28.25,2,15353
222,GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,2,15117
223,Air_India,AI-439,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.0,2,15195
224,Indigo,6E-2102,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,2,15232
225,Air_India,AI-465,Delhi,Evening,one,Night,Mumbai,Economy,6.25,2,15510
226,Indigo,6E-184,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,2,15720
227,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,2,15720
228,Indigo,6E-5018,Delhi,Afternoon,one,Night,Mumbai,Economy,10.33,2,15720
229,Air_India,AI-401,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25,2,16035
230,Vistara,UK-839,Delhi,Afternoon,one,Night,Mumbai,Economy,9.08,2,16560
231,Vistara,UK-833,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.42,2,16560
232,GO_FIRST,G8-165,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.0,2,16823
233,Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,24.42,2,17348
234,Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,26.67,2,17348
235,GO_FIRST,G8-237,Delhi,Afternoon,one,Night,Mumbai,Economy,9.25,2,17136
236,Air_India,AI-762,Delhi,Night,one,Night,Mumbai,Economy,23.83,2,18135
237,Air_India,AI-764,Delhi,Evening,one,Night,Mumbai,Economy,27.17,2,18135
238,Vistara,UK-673,Delhi,Afternoon,one,Evening,Mumbai,Economy,5.0,2,19343
239,Vistara,UK-627,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.67,2,19553
240,Vistara,UK-705,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,2,19815
241,Air_India,AI-406,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.83,2,20445
242,Air_India,AI-9809,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.83,2,21180
243,Air_India,AI-512,Delhi,Afternoon,one,Night,Mumbai,Economy,8.92,2,22335
244,GO_FIRST,G8-286,Delhi,Morning,one,Evening,Mumbai,Economy,7.5,2,23281
245,GO_FIRST,G8-286,Delhi,Morning,one,Evening,Mumbai,Economy,8.83,2,23281
246,Vistara,UK-847,Delhi,Morning,one,Afternoon,Mumbai,Economy,27.58,2,24488
247,Air_India,AI-411,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.0,2,24855
248,Vistara,UK-737,Delhi,Afternoon,one,Night,Mumbai,Economy,28.42,2,25905
249,Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.83,2,29160
250,Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.42,2,29580
251,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,3,5953
252,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,3,5953
253,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,3,5953
254,Vistara,UK-927,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,3,5955
255,Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,3,5955
256,Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,3,5955
257,GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,3,5954
258,GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,3,5954
259,GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,3,5954
260,GO_FIRST,G8-323,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,3,5954
261,Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,3,5955
262,Indigo,6E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,3,5955
263,Indigo,6E-6278,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,3,5955
264,Indigo,6E-5328,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,3,5955
265,AirAsia,I5-764,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,3,5956
266,Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,3,5955
267,Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,3,5955
268,Air_India,AI-805,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,5955
269,Air_India,AI-624,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,3,5955
270,GO_FIRST,G8-103,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.33,3,5954
271,GO_FIRST,G8-113,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.75,3,5954
272,Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,Economy,3.75,3,5955
273,Vistara,UK-985,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,6375
274,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,6060
275,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,3,6270
276,Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,3,6690
277,GO_FIRST,G8-336,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,3,6532
278,GO_FIRST,G8-330,Delhi,Night,zero,Night,Mumbai,Economy,2.25,3,6532
279,Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,3,7005
280,Air_India,AI-868,Delhi,Evening,zero,Evening,Mumbai,Economy,2.0,3,6795
281,GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,3,7110
282,Indigo,6E-2022,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.25,3,7420
283,Indigo,6E-2154,Delhi,Morning,one,Afternoon,Mumbai,Economy,5.0,3,7583
284,Indigo,6E-6202,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,3,7845
285,Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,8055
286,Indigo,6E-2046,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,3,8370
287,Indigo,6E-549,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,3,8370
288,Vistara,UK-933,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,3,9525
